5942	107	3	7.81
10493	8127	3	57.08
103	3049	13	40.57
101	7548	4	9.87
177	9353	3	25.97
19447	1779	4	74.05
105	4898	4	10.36
104	5038	3	4.79
4986	12	16	49.21
4536	358	3	27.64
2348	143	11	73.48
102	20519	5	36.56
5962	110	4	14.04
125	417	8	10.17
124	286	27	58.07
110	10448	3	13.11
1136	105	15	30.41
128	5097	5	30.46
272	7553	3	28.74
489	21	4	9.79
103	1271	8	5.45
102	1403	17	30.57
132	1433	15	83.14
12206	105	6	36.71
104	4174	7	19.02
105	3778	5	12.2
104	5628	9	36.61
101	4704	5	9.01
103	6024	3	5.67
7624	16118	5	108.62
3609	110	3	5.38
103	7647	3	7.26
4443	109	5	15.26
4547	155	3	18.28
105	21220	3	18.36
5476	110	19	134.47
19485	14	3	11.24
849	133	4	7.77
184	13	9	7.11
106	7175	12	75.69
6399	5109	3	49.21
370	19669	3	41.43
109	4413	4	10.48
113	5933	5	21.71
5457	12	6	7.42
198	183	11	18.76
1665	683	5	47.84
3195	12	8	5.44
509	7689	3	34.49
111	4071	4	10.47
119	5184	7	38.76
118	2176	12	53.71
268	1025	5	29.18
6467	105	11	61.6
5446	12	6	7.42
62	154	16	29.36
120	471	8	7.02
2608	101	9	14.32
557	105	12	5.74
496	183	3	6.07
6633	3598	3	46.75
464	308	3	11.06
119	33417	3	30.22
4382	569	7	85.17
199	518	9	40.06
6463	14	4	4.73
165	2146	6	36.69
322	223	4	8.78
109	2584	15	60.61
3861	26828	3	64.56
159	10283	3	25.53
107	4316	30	220.41
8945	101	4	11.95
107	1589	44	225.52
108	1993	4	4.08
5951	12	8	15.94
7993	103	4	12.45
172	987	6	26.99
6361	3171	3	45.56
325	539	11	74.21
141	2755	9	57.6
107	3197	13	52.17
2003	185	17	145.42
2068	103	6	6.01
8	3268	5	35.24
235	835	3	12.25
28963	6804	3	69.11
8643	107	5	23.31
151	650	10	40.64
116	409	13	12.36
146	5329	3	18.14
106	21129	5	41.87
116	4911	5	21.51
593	1494	7	68.01
9479	12	4	7.32
1388	139	6	24.26
8429	110	3	11.26
205	4578	4	31.77
102	9215	4	13.02
105	8563	10	64.47
264	960	4	20.73
